model,mean_macro_f1,std_macro_f1
DTL-scratch,0.8746859731147574,0.008213130422393647
DTL-sklearn,0.8744686650624967,0.008274819342069856
LR-scratch,0.8466135379382523,0.00902943136605814
LR-sklearn,0.8467263334812507,0.00905049056416394
SVM-scratch,0.8456015281083487,0.008747546907710178
SVM-sklearn,0.8470197119679183,0.009194054101348105
